initialization 19.0548920631
fluxes 189 22.287184
rhs 189 47.4450860023
update 189 3.22028398514
reconstruction 190 3.56481289864
boundary 190 6.75320887566
fluxes 190 22.2966089249
rhs 190 47.4733161926
update 190 3.22235393524
reconstruction 191 3.56913399696
boundary 191 6.7528219223
fluxes 191 22.2509980202
rhs 191 47.4685111046
update 191 3.21986484528
reconstruction 192 3.56319499016
boundary 192 6.75392794609
fluxes 192 22.2867810726
rhs 192 47.4455869198
update 192 3.22303009033
reconstruction 193 3.56866812706
boundary 193 6.75349617004
fluxes 193 22.2960250378
rhs 193 47.477367878
update 193 3.22216820717
reconstruction 194 3.56454801559
boundary 194 6.75387501717
fluxes 194 22.2458729744
rhs 194 47.4717171192
update 194 3.21919512749
reconstruction 195 3.56753706932
boundary 195 6.75420403481
fluxes 195 22.288326025
rhs 195 47.4462571144
update 195 3.22170090675
reconstruction 196 3.56495404243
boundary 196 6.7536687851
fluxes 196 22.2989451885
rhs 196 47.4705939293
update 196 3.22333788872
reconstruction 197 3.56788802147
boundary 197 6.7524740696
fluxes 197 22.2479038239
rhs 197 47.469381094
update 197 3.21796894073
reconstruction 198 3.5645070076
boundary 198 6.75474500656
fluxes 198 22.2882239819
rhs 198 47.4486398697
update 198 3.22261595726
reconstruction 199 3.56878995895
boundary 199 6.75335693359
fluxes 199 22.2979650497
rhs 199 47.473927021
update 199 3.21999788284
reconstruction 200 3.56258201599
boundary 200 6.75429487228
fluxes 200 22.2471752167
rhs 200 47.4704499245
update 200 3.21899795532
reconstruction 201 3.56754183769
boundary 201 6.73420619965
fluxes 201 22.1507918835
rhs 201 47.4608559608
update 201 3.23296189308
reconstruction 202 3.55554389954
boundary 202 6.75745511055
fluxes 202 22.3287198544
rhs 202 47.4708991051
update 202 3.22244215012
reconstruction 203 3.56691813469
boundary 203 6.75827383995
fluxes 203 22.3229870796
rhs 203 47.4681041241
update 203 3.2229449749
reconstruction 204 3.55025100708
boundary 204 6.75776815414
fluxes 204 22.3434648514
rhs 204 47.4793450832
update 204 3.22363710403
reconstruction 205 3.56857514381
boundary 205 6.75733685493
fluxes 205 22.3320012093
rhs 205 47.4643669128
update 205 3.224132061
reconstruction 206 3.54838705063
boundary 206 6.75719499588
fluxes 206 22.3230550289
rhs 206 47.4454109669
update 206 3.22069406509
